gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,yes_expression_mean_tpm,no_expression_mean_tpm
ENSG00000100427,27.74940057832015,5.493990595165989,1.3353006739547137,4.114422094085093,3.881506190032374e-5,0.044713197539511494,MLC1,1.63328,2.911999
ENSG00000132849,4315.240727716137,-1.9120357455760544,0.35434134786571636,-5.396027748646067,6.813241414091822e-8,2.892050649246626e-4,PATJ,102.104509,288.14568
ENSG00000137101,111.4145651387646,1.7489836467914541,0.4253366180384291,4.111998761962775,3.922484032702693e-5,0.044713197539511494,CD72,12.740459,12.92509
ENSG00000141560,340.16936383302755,0.6974538377868081,0.16530432400581943,4.219211094334439,2.45158652704584e-5,0.044713197539511494,FN3KRP,28.271948000000002,41.94091
ENSG00000148175,2840.863210717617,1.800136903533913,0.43684512712809564,4.120766815846983,3.7761347034406345e-5,0.044713197539511494,STOM,387.56701400000003,212.345248
ENSG00000148339,409.0472823561349,0.7203323838535507,0.1739117604504628,4.141941763959838,3.443777955446636e-5,0.044713197539511494,SLC25A25,18.675379,27.802468
ENSG00000162702,571.3132579860486,-1.146612282779327,0.2550322271975538,-4.495950552520309,6.925983186101263e-6,0.019599378086135558,ZNF281,20.473655,41.233417
ENSG00000164764,511.32421981385136,-3.6845190839083566,0.6284689801633547,-5.862690443290707,4.5542679351388475e-9,3.8663457635361246e-5,SBSPON,9.565878,75.183384
ENSG00000166126,31.99177724747926,2.5139422107924827,0.5976355473875897,4.206480390568358,2.5937857820046908e-5,0.044713197539511494,AMN,2.795253,2.012146
ENSG00000168118,548.3809049530606,-1.0920012286493976,0.2656694556745904,-4.11037552614612,3.950161747409579e-5,0.044713197539511494,RAB4A,92.84770900000001,152.413807
ENSG00000196092,80.91000915521253,6.180557159645727,1.1975294604537603,5.161089863546096,2.4551628230429977e-7,8.337241914489412e-4,PAX5,4.193176,0.413705
ENSG00000198740,1990.2478440137704,1.94624120161606,0.465129605855022,4.18429869248678,2.8604780026370046e-5,0.044713197539511494,ZNF652,101.11234800000001,71.758615
ENSG00000237671,8.103565014788284,22.31136205266373,4.0809480351079115,5.467200724126289,4.57198225519387e-8,2.5875895570312237e-4,GAGE12C,5.538661,0
ENSG00000268940,13.233393554945271,17.15163270115401,4.120394861639596,4.162618699686709,3.1461849751327804e-5,0.044713197539511494,CT45A1,1.539188,0
ENSG00000274611,22.579086220106472,-27.391507906145286,4.096574674905797,-6.6864417421550275,2.2866211377297102e-11,3.882454029751275e-7,TBC1D3,0.010201,2.123878
