ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0099637,neurotransmitter receptor transport,4/82,42/15305,7.336809126958441e-5,0.038977922687190254,0.03715472787551387,DNM1/GRIP1/CPLX1/SCRIB,4
GO:0098877,neurotransmitter receptor transport to plasma membrane,3/82,17/15305,9.548313556809803e-5,0.038977922687190254,0.03715472787551387,GRIP1/CPLX1/SCRIB,3
GO:0098969,neurotransmitter receptor transport to postsynaptic membrane,3/82,17/15305,9.548313556809803e-5,0.038977922687190254,0.03715472787551387,GRIP1/CPLX1/SCRIB,3
GO:1903540,establishment of protein localization to postsynaptic membrane,3/82,18/15305,1.1413740171944438e-4,0.038977922687190254,0.03715472787551387,GRIP1/CPLX1/SCRIB,3
