gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,20180323_expression_mean_tpm,20180228_expression_mean_tpm
ENSG00000006634,132.83300334731675,0.9212948264198331,0.27974383930626756,3.293351620198457,9.90005805281498e-4,0.04745372364139214,DBF4,3.5681158,2.7549831538461538
ENSG00000006638,497.41549474799206,0.6308647080838956,0.1682317100339669,3.749975007425893,1.768521957749798e-4,0.020153555050863664,TBXA2R,7.6758282,4.2182928461538465
ENSG00000008952,1078.484138577497,0.9616753476574896,0.25892706441420693,3.7140781317440528,2.039457814314599e-4,0.02124028674028025,SEC62,19.7322528,13.054808999999999
ENSG00000009413,1386.7277383561832,0.8683294959965603,0.23216353927525296,3.7401630708561404,1.8390090692359015e-4,0.020153555050863664,REV3L,35.9864714,19.530687999999998
ENSG00000011052,26.873420780235524,-3.801340872993021,1.1484495829911574,-3.3099762752252135,9.330387932466634e-4,0.045777070677870915,NME1-NME2,0.0257764,0.44552023076923075
ENSG00000013306,849.3314112540714,-0.6883346837098466,0.21012274779587958,-3.2758694188528246,0.0010533725212998222,0.0483252294490149,SLC25A39,5.6217544,9.296449769230769
ENSG00000020181,1317.496972107681,-1.368006475888636,0.3829052814800182,-3.5727020285564413,3.53316711772778e-4,0.027357265031021614,ADGRA2,2.7883808,4.516787384615385
ENSG00000022267,427.91556926724206,-1.617911692366515,0.46640748995222053,-3.4688801685673107,5.226325097189624e-4,0.03351823391185182,FHL1,3.4280948,7.9983379999999995
ENSG00000029363,1649.0434567324737,0.8629223457629773,0.2426428955126042,3.556347050425601,3.760472453633113e-4,0.02797791505503036,BCLAF1,38.431764199999996,22.18815607692308
ENSG00000033178,660.2017397354762,0.8571191694392475,0.2536073520520152,3.379709470187013,7.25624894993845e-4,0.040184120398494096,UBA6,9.6497432,5.793596846153846
ENSG00000033800,740.3801487913867,0.49221429723044113,0.13832156213451555,3.5584784442484136,3.7300939682366344e-4,0.02796030762442213,PIAS1,13.6756064,9.013999230769231
ENSG00000048991,756.111141052209,0.5656134579719452,0.16623465281866356,3.402500311345688,6.677227917181523e-4,0.03840753795672549,R3HDM1,18.8187252,11.761199153846155
ENSG00000049249,457.6191951720652,0.784293432961491,0.21561056580490026,3.637546379202842,2.7524764008583856e-4,0.02467388774315568,TNFRSF9,2.811351,1.6714623076923076
ENSG00000050165,534.1193719354618,-1.2024308110425366,0.3351909113921431,-3.5873013562584375,3.341180940322092e-4,0.026625775395355846,DKK3,3.895451,6.376786461538461
ENSG00000052749,1320.7827772664918,0.651531654435,0.19564414518583575,3.330187334847829,8.678757247185497e-4,0.04406868860906119,RRP12,31.1267598,17.444333461538463
ENSG00000054983,676.7720374947521,0.6625761023951492,0.16040106309705232,4.130746327998155,3.615874116829383e-5,0.008141426037787421,GALC,29.984191799999998,18.061939384615386
ENSG00000055208,1015.976957537721,0.4625346110298594,0.1333453277086897,3.4686975462711875,5.22987871345514e-4,0.03351823391185182,TAB2,12.6171248,8.278785384615384
ENSG00000058272,1363.643384864998,0.5909315121081614,0.13839674126601853,4.269836895742405,1.956159663495224e-5,0.005399000671246818,PPP1R12A,30.6102958,19.252396076923077
ENSG00000060339,1419.8206156471294,0.8456148501217271,0.16498713739747975,5.125338032167375,2.9700439435117857e-7,2.674915366388088e-4,CCAR1,25.182963799999996,12.822817384615385
ENSG00000063660,1069.6825067169993,-1.3389875976153947,0.3967441313126595,-3.3749398968681597,7.383181357907361e-4,0.04062411556157902,GPC1,3.2337730000000002,6.420058769230769
ENSG00000064012,1069.8384253998845,0.6203936486587768,0.15331971626752045,4.04640488361119,5.201024378491941e-5,0.010229876915488975,CASP8,22.137925799999998,13.92678723076923
ENSG00000065057,195.00144669325522,-1.1961414825670367,0.3051661460236128,-3.919640163737176,8.868127474952229e-5,0.013119294742301616,NTHL1,1.980302,4.206357615384615
ENSG00000065534,2648.6220771060925,-0.9188620289586418,0.25479270646565716,-3.606312133909111,3.1057952396253965e-4,0.026310083237856326,MYLK,17.3719842,20.030762
ENSG00000067900,1864.1158354180868,0.558574402410019,0.13151467746225629,4.247240028173476,2.1642006305240483e-5,0.005527433013362316,ROCK1,15.3313442,10.435222076923077
ENSG00000069206,8.74090847096913,23.18733872759233,4.173445759748347,5.555921907797957,2.7615032111273222e-8,4.295894813528249e-5,ADAM7,0.33140880000000006,0
ENSG00000070476,1030.0833591167473,-0.6691430448943609,0.20042278810893244,-3.338657501015667,8.418429094121664e-4,0.04338314617058325,ZXDC,4.5923964,5.884480076923077
ENSG00000070614,2432.069924277285,-0.7515701602705275,0.2269756865124445,-3.3112364228021436,9.288469681419652e-4,0.045777070677870915,NDST1,10.025878,13.810539
ENSG00000070950,285.09646140978504,1.6890446844744094,0.48675776159633827,3.4699902451172657,5.204772674421793e-4,0.03351823391185182,RAD18,7.5438522,2.130431923076923
ENSG00000071889,514.664756128281,-0.5936786141992887,0.16915331916636642,-3.509707152807278,4.486004684397597e-4,0.030583470979845293,FAM3A,3.7503936,5.604843153846154
ENSG00000073536,233.71007791417713,-0.8744128804838367,0.24771590079091022,-3.529902108391109,4.157134507340725e-4,0.029419599355691557,NLE1,0.9641234,1.5125763846153846
ENSG00000075292,2121.114825571528,0.6873105010617424,0.15518869580722627,4.428869625372148,9.472826164403765e-6,0.0033770625276099424,ZNF638,49.2180988,26.55614946153846
ENSG00000075539,1426.9651376161028,0.7583171986085887,0.2255201365899919,3.3625254492784005,7.723300672816189e-4,0.04169120539849546,FRYL,24.361574,14.610919076923077
ENSG00000079393,8.940114586640858,-18.605373069348428,2.072186039319779,-8.978620990736852,2.741815078018603e-19,2.5089849473471774e-15,DUSP13,0,0.04539061538461538
ENSG00000082074,1430.3328903046977,1.127234081321721,0.29088719702020976,3.8751587999364747,1.0655518823121134e-4,0.014586979048099906,FYB1,26.2189694,13.667536692307692
ENSG00000083312,1161.0539241446738,1.01168082423852,0.24715545193042,4.093297624376628,4.252812679216974e-5,0.008874893971556202,TNPO1,25.169980199999998,14.181701307692308
ENSG00000083812,370.99539963912576,-0.5768234981558664,0.16420672651695759,-3.5127884855331915,4.4343032728437666e-4,0.030529003604362608,ZNF324,1.6124246,1.9568391538461538
ENSG00000083838,258.2778628885724,-1.2195229784614106,0.27211426729132515,-4.481657616121212,7.406550159349833e-6,0.0028804746892453262,ZNF446,1.2223484,1.7997275384615383
ENSG00000084463,706.9801171885606,1.3244091112941347,0.29597945454582203,4.474665693692926,7.65309592969721e-6,0.002910217278866192,WBP11,9.2002756,5.222770923076923
ENSG00000085063,3869.4382725627247,-1.0287269223912583,0.3132206693421706,-3.284351969976316,0.0010221717958736247,0.047688922401298676,CD59,24.982491,50.00881630769231
ENSG00000085741,56.72825151319791,-1.909727978033613,0.5412866105387102,-3.5281271342237246,4.185110991153146e-4,0.029419599355691557,WNT11,0.5925546,1.4495561538461539
ENSG00000087299,811.2321243395423,0.7957490103870122,0.13868988719501432,5.737613797811338,9.601976154853627e-9,1.6430901596185527e-5,L2HGDH,6.3304254,3.156309769230769
ENSG00000089048,257.56771486578407,0.9145783212132738,0.23795099171318412,3.8435575100088974,1.212635659274381e-4,0.015840169008781074,ESF1,4.4826904,2.3122237692307692
