gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,Positive_expression_mean_tpm,Negative_expression_mean_tpm
ENSG00000001617,1068.5162621901154,1.5997223912363665,0.44122596965549776,3.6256306320441753,2.8825713294564477e-4,0.013914735256073051,SEMA3F,8.3629574,3.929941416666667
ENSG00000003402,5934.553073272085,-0.5468789902356828,0.18008651838664821,-3.036756971788005,0.0023913817626138134,0.04984778613388631,CFLAR,24.689761,35.335793833333334
ENSG00000004478,3106.383975809325,1.5507236931794783,0.3926136403684167,3.9497448222235128,7.823455401424644e-5,0.006463667175435457,FKBP4,28.4167747,12.129710416666667
ENSG00000006210,811.3922864362106,-3.0447992190321527,0.4817802805227669,-6.3198917475998035,2.617465949478002e-10,2.787601236194072e-7,CX3CL1,0.8296507,3.686317166666667
ENSG00000006555,203.88769233681373,-1.133460388980779,0.36177221926558223,-3.1330774686949896,0.0017298377923665696,0.04151610701679767,TTC22,0.6497024,1.26033175
ENSG00000006757,295.7563275697597,1.0298991003617481,0.2766295473023291,3.7230263737379037,1.968489501781654e-4,0.011370529189952334,PNPLA4,3.9024568,2.7567738333333334
ENSG00000006831,1056.0064125026536,0.8478534497067647,0.22096436361610128,3.837059677097104,1.2451622158622222e-4,0.008767588495162093,ADIPOR2,7.4455169,4.8394885
ENSG00000007062,1457.5947232573671,-3.7390067911672067,0.6419332001363252,-5.824604165002163,5.724812288545723e-9,3.902032055872765e-6,PROM1,3.4738613000000003,21.382007999999995
ENSG00000007372,93.50132439931225,-3.416150078277051,1.0309129517071733,-3.3137134154925185,9.206581741747496e-4,0.028244376051866533,PAX6,0.0406393,1.3484231666666666
ENSG00000007376,268.7454843521695,0.9532866828321178,0.2741941945198739,3.476684415223906,5.076549719075581e-4,0.019840460369965115,RPUSD1,2.5569557,1.8738876666666666
ENSG00000007516,178.09334140617523,2.296342912959063,0.4623417656207521,4.966765029060123,6.807899224475224e-7,1.7576757997736034e-4,BAIAP3,2.1907359,0.534478
ENSG00000007520,406.8870935004829,0.7221298068119774,0.2338407202170738,3.0881268503690285,0.0020142247335122277,0.04558086249541615,TSR3,5.2030053,4.3132494999999995
ENSG00000007545,1001.8424618885298,1.0129690631645902,0.29976383451790756,3.379223730553382,7.269082583392239e-4,0.024479282059486906,CRAMP1,5.2956044,2.71756975
ENSG00000008300,531.0100749604476,1.9308632424260492,0.4965195928486315,3.888795669367856,1.0074288783704609e-4,0.0076251747329725734,CELSR3,1.0394998,0.44327333333333335
ENSG00000008513,3007.88248925977,1.1103230137172215,0.3043094933190391,3.64866373903477,2.6360786960008255e-4,0.013395021348599219,ST3GAL1,20.7352076,9.461796416666669
ENSG00000011347,1223.9278258687173,1.7702154580189458,0.4803951583877436,3.6849152767483626,2.2877872891815452e-4,0.012758936919262316,SYT7,6.7045372,3.23067675
ENSG00000012171,483.3548163817685,3.084202850655638,0.5910050704005854,5.218572572592573,1.8030732825757698e-7,6.493484717353286e-5,SEMA3B,7.050916099999999,1.1290318333333333
ENSG00000013588,3827.6613435487056,2.888096965477645,0.47842859366503016,6.036631179071488,1.573648335092983e-9,1.3407483814992215e-6,GPRC5A,35.1430265,8.478068
ENSG00000015153,513.8836488496135,0.7067590469258022,0.1932669751861447,3.6569054089302564,2.552785292158757e-4,0.013221720783703714,YAF2,8.1170931,6.580436083333334
ENSG00000018189,980.284098153843,-0.6329890305973258,0.18446277442878437,-3.4315272149487495,6.001929052746115e-4,0.021546085741126417,RUFY3,10.2424234,15.223854750000001
ENSG00000020633,285.2986429687934,-1.1345826072997314,0.35696450078882475,-3.1784185956657205,0.001480807933930819,0.03783053552350998,RUNX3,0.688319,1.6784988333333333
ENSG00000023516,1185.1006775627895,-0.5374027572108572,0.14842172603675957,-3.620782290847088,2.93713591149163e-4,0.01405865054264533,AKAP11,2.8997356,4.159282166666666
ENSG00000023902,1159.413577786256,-0.8195983640563972,0.23688179368130638,-3.459946631268168,5.402824577617695e-4,0.0205042607578186,PLEKHO1,5.8273299000000005,10.778604083333333
ENSG00000031081,1140.9462613944977,-0.9757450163366648,0.2585846840735177,-3.7734060693991167,1.610338649769023e-4,0.010194770557097412,ARHGAP31,1.3075977,2.9590141666666665
ENSG00000037897,239.4710235043816,0.932109213515322,0.23290164347601272,4.002158162577857,6.276731552824832e-5,0.005590533417801792,METTL1,5.0100394,3.2061676666666665
ENSG00000039139,477.1612436338379,1.5933214257626487,0.503584259594411,3.1639619297194015,0.0015563715249744695,0.03860345092513094,DNAH5,1.663834,0.6394051666666667
ENSG00000044524,215.74666434539697,1.9824630978915114,0.6308453384245567,3.142550126220194,0.0016748303342207908,0.04073665641026397,EPHA3,1.9723365000000002,0.38653725
ENSG00000047315,1212.9526903313629,-0.6070913894435301,0.19426658006171613,-3.125042862496805,0.0017777915325168912,0.0422504431158826,POLR2B,8.3665533,13.7653065
ENSG00000047578,994.2920525132646,0.7946127599395414,0.22538886421432233,3.525519163111554,4.2265359706076877e-4,0.017608844239402198,KIAA0556,7.7579112,5.267449583333334
ENSG00000051341,314.04118956920837,0.7158146589881303,0.1762307326307179,4.061803797230315,4.8694995923293824e-5,0.00458870323043915,POLQ,2.6810989000000003,1.90990125
ENSG00000054148,813.8705049006329,0.7475500997097281,0.24237391940729497,3.0842844046001274,0.0020404243733974765,0.046051432215487416,PHPT1,15.87243,12.329019916666667
ENSG00000055332,2841.3927754315073,-0.6597039793782846,0.21429246029238677,-3.07852165436976,0.002080304104296425,0.04639840567697786,EIF2AK2,6.9591744,9.749050916666667
ENSG00000056998,275.0438334585555,-1.882939303862756,0.6115537764466796,-3.078943138579288,0.002077363266693478,0.04639840567697786,GYG2,1.0247597,2.94088075
ENSG00000057704,203.17126243610855,-1.2247333628424502,0.342673420219801,-3.5740541593709527,3.514961756131673e-4,0.0155976427928343,TMCC3,0.611202,1.3017476666666667
ENSG00000058668,2998.6406667963543,-0.8817443477932158,0.28777820047345576,-3.063971997679326,0.0021841935351740614,0.04732190117812332,ATP2B4,6.2047111,9.009336833333332
ENSG00000059145,705.0045183497409,0.889240704617382,0.2575522827249355,3.452660932409931,5.550862530423139e-4,0.020833623710389316,UNKL,10.020855,5.409383083333333
