gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,20180323_expression_mean_tpm,20180228_expression_mean_tpm
ENSG00000069248,962.7774930799494,-1.2299297185713296,0.29556099854724,-4.161339705227542,3.1638603774668436e-5,0.025580564451909305,NUP133,5.328011,7.281604785714285
ENSG00000079841,198.21285029222898,-4.81733551724905,1.0150185799765632,-4.746056488306137,2.0742080758024347e-6,0.003913108768783282,RIMS1,0.241305,0.6360642857142857
ENSG00000095627,336.82913466766547,-6.872082251912135,1.6625988282642206,-4.133337600800969,3.5753295252004636e-5,0.02682490630179036,TDRD1,0.09410950000000001,2.2135195714285714
ENSG00000100604,176.73151595516657,5.73060629589622,1.3456145792650718,4.258727858779651,2.0559358252053878e-5,0.018372491776927517,CHGA,16.239616,0.15742614285714285
ENSG00000102189,766.1112980445496,1.0948479187581055,0.27528951868260526,3.977078110338117,6.97672528926868e-5,0.04494182352969157,EEA1,6.229341,3.2918715
ENSG00000106278,97.8916612876095,8.176158240853715,2.058785576578322,3.971350068637258,7.14664724248585e-5,0.04494182352969157,PTPRZ1,0.447062,0.052515285714285716
ENSG00000131759,1925.6303446440747,-2.631094880381498,0.6067365513824218,-4.336470045173094,1.4478914814086757e-5,0.013839378562100225,RARA,5.593306500000001,10.356511142857142
ENSG00000135750,568.357809270378,-2.7091611034303225,0.6074417688140498,-4.45995195345161,8.197802858355689e-6,0.010706961133232403,KCNK1,2.8195395000000003,8.140751428571429
ENSG00000135763,569.8462653143381,-1.5957094494026178,0.38640651729534464,-4.129613187095804,3.6337407676611004e-5,0.02682490630179036,URB2,1.044913,1.948251357142857
ENSG00000136261,1115.3844581128496,-2.1437549097397732,0.545321873177926,-3.931173523715076,8.453223034542265e-5,0.047842424634497706,BZW2,6.131316999999999,11.912459071428572
ENSG00000141560,340.16936383302755,1.2174793011000364,0.26647718805312026,4.568793711742939,4.905392916955953e-6,0.007041435101281782,FN3KRP,4.671664,2.776754214285714
ENSG00000143578,1739.7999435798424,-2.282523429764179,0.521844309496948,-4.373954814156172,1.220156451957946e-5,0.013811357598529311,CREB3L4,9.9074385,21.603484357142857
ENSG00000165175,600.6305281626144,-1.8889289929887716,0.4465560380804372,-4.229993174224021,2.3369840284531063e-5,0.019839825909552647,MID1IP1,1.5341235,3.3175165714285715
ENSG00000170345,433.5906886989525,2.6089362179504243,0.5660621783822998,4.6089216301401335,4.047628557739591e-6,0.006872468528186053,FOS,18.2961895,3.629784
ENSG00000170477,158.0420084937203,11.389484503789923,2.8623280031295124,3.9790983043652877,6.917713496553805e-5,0.04494182352969157,KRT4,0.30218600000000007,1.1511004285714286
ENSG00000184486,48.34860281566038,-21.571706027959667,5.482869684811872,-3.9343824070295836,8.341089318078124e-5,0.047842424634497706,POU3F2,0,0.0030669285714285716
ENSG00000184956,1053.577167576481,5.3824014399334565,1.2406792954734935,4.338269736240995,1.4360883749852801e-5,0.013839378562100225,MUC6,15.1223835,0.5002183571428571
ENSG00000188293,6.822671852722524,-22.641693757974696,3.9060498763807434,-5.796570569896043,6.7684710681719705e-9,2.2984374053298378e-5,IGFL1,0,0.13143407142857141
ENSG00000197409,220.0989253902178,-11.152745556642516,1.949776887612809,-5.720011159993427,1.0651705670502813e-8,3.0142551763244544e-5,HIST1H3D,0,10.923441571428572
ENSG00000198185,424.67899020440353,5.322211171827442,1.2126014028970893,4.389085448121592,1.1382834090125864e-5,0.013804938572589074,ZNF334,27.040941,0.5309407857142857
ENSG00000198797,42.20675803689847,-10.720786521091753,2.6342090805032545,-4.069831282733105,4.7047196304747074e-5,0.033283931085762525,BRINP2,0.076144,0.3883809285714286
ENSG00000203812,2658.6398625090774,-28.424515842643643,2.4776647959621325,-11.472300808796765,1.817613185425997e-30,3.0861254275348e-26,HIST2H2AA3,0,85.7879165
ENSG00000205867,6.610629715590153,-16.38582135102368,3.781143726507522,-4.333562153734513,1.467158337462772e-5,0.013839378562100225,KRTAP5-2,0,0.16692142857142858
ENSG00000243207,24.741691048159755,-23.33565555311027,3.461361833008919,-6.741755609186017,1.5648413980241658e-11,1.3284721048526157e-7,PPAN-P2RY11,0,0.08222742857142858
ENSG00000243509,23.042981124741974,-22.097472383075722,4.839809756828049,-4.565772931859646,4.976572307873336e-6,0.007041435101281782,TNFRSF6B,0,0.5384278571428571
ENSG00000255974,257.08432782704074,5.810252238197789,1.4774918148051588,3.9325106101951595,8.406326811132192e-5,0.047842424634497706,CYP2A6,30.497434000000002,0.3387477857142857
ENSG00000259753,11.438721452590567,-21.14319501765381,4.049428658443357,-5.221278555820137,1.776920222861448e-7,4.3100469234235036e-4,AC068234.1,0,0.07112814285714286
ENSG00000261796,70.15589160594209,-19.924523641981335,3.982891274661549,-5.0025276282929525,5.658346961727098e-7,0.001200913413289555,ISY1-RAB43,0,0.21368207142857143
ENSG00000269955,67.21436562950885,-24.023184689830426,4.1109531326452045,-5.843701914055303,5.105334949624535e-9,2.1670870527418747e-5,C7orf55-LUC7L2,0,0.6161808571428572
ENSG00000273079,145.62527527570748,7.886437257957594,1.3178453603421059,5.984341938200029,2.172664569154166e-9,1.229655723988953e-5,GRIN2B,0.723117,0.030292714285714284
