gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,High_expression_mean_tpm,Low_expression_mean_tpm
ENSG00000102109,133.7043483634622,5.591884422302586,1.0001612845107823,5.590982683395702,2.257881005425874e-8,4.8872211231832436e-5,PCSK1N,3.3810372941176468,0.1198428
ENSG00000124208,44.09266677514328,23.44949637882275,3.1592938490954547,7.422385349035081,1.150295531182051e-13,1.960103585134215e-9,TMEM189-UBE2V1,0.4374750588235294,0
ENSG00000198681,9.74956124551835,20.165958482142145,3.779299644680037,5.335898282246269,9.507269106712008e-8,1.8000429508708069e-4,MAGEA1,0.10604852941176471,0
ENSG00000237671,7.344236440368738,23.261886170172925,3.8427277136911533,6.053482813079304,1.4174720219651638e-9,8.05124108476213e-6,GAGE12C,0.32580358823529415,0
ENSG00000260287,8.599241839838653,21.855179640614413,3.860347672978947,5.661453706253676,1.5009600074271923e-8,4.2627264210932264e-5,TBC1D3G,0.11308158823529413,0
ENSG00000268447,15.531415740827576,22.706122878329627,3.8423604685846557,5.909420280573907,3.4331377061820225e-9,1.4625166628335416e-5,SSX2B,0.24660535294117647,0
ENSG00000268940,12.019380767022367,22.180603420521894,3.8592600990684365,5.747371996480863,9.064116945453696e-9,3.08905105501062e-5,CT45A1,0.09054047058823529,0
ENSG00000274611,20.509735123642447,-21.34753832064255,3.8201159787881442,-5.588191154189677,2.294470010884152e-8,4.8872211231832436e-5,TBC1D3,0.05296823529411765,0.24672379999999997
ENSG00000282278,3.9634504446200753,27.87513149739363,3.8381603061475578,7.262628257800021,3.796402463234677e-13,3.2345348986759447e-9,AC058822.1,0.04117052941176471,0
